"contour","area_SqKm"
5,10.7321282952088
10,26.5349321081562
15,43.7872485223081
20,64.2276988728812
30,98.2262920889931
40,133.959399554415
50,172.911744249217
60,212.333966086198
70,247.239671265134
80,293.237584616109
90,337.894613002358
